"","Species","TREE_ID","X","Y","Year","logF_current"
"62","Abies concolor","50206_3_17_6_1_106",38.818547,-120.008184,2011,3.15976599466781
"63","Abies concolor","50206_3_17_6_1_106",38.818547,-120.008184,2021,5.66545666039407
"64","Abies concolor","50206_3_17_6_1_107",38.818547,-120.008184,2001,5.40899773080778
"65","Abies concolor","50206_3_17_6_1_107",38.818547,-120.008184,2011,3.15985413166781
"66","Abies concolor","50206_3_17_6_1_107",38.818547,-120.008184,2021,5.66557417639407
"67","Abies concolor","50206_3_17_6_1_108",38.818547,-120.008184,2001,5.40885922980778
"68","Abies concolor","50206_3_17_6_1_108",38.818547,-120.008184,2011,3.15970723666781
"69","Abies concolor","50206_3_17_6_1_108",38.818547,-120.008184,2021,5.66541888739407
"70","Abies concolor","50206_3_17_6_1_109",38.818547,-120.008184,2001,5.40871653180778
"71","Abies concolor","50206_3_17_6_1_109",38.818547,-120.008184,2011,3.15954355366781
"72","Abies concolor","50206_3_17_6_1_109",38.818547,-120.008184,2021,5.66522162839407
"73","Abies concolor","50206_3_17_6_1_110",38.818547,-120.008184,2001,5.40898933680778
"74","Abies concolor","50206_3_17_6_1_110",38.818547,-120.008184,2011,3.15984573766781
"75","Abies concolor","50206_3_17_6_1_110",38.818547,-120.008184,2021,5.66556578239407
"76","Abies concolor","50206_3_17_6_1_112",38.818547,-120.008184,2001,5.40887601780778
"77","Abies concolor","50206_3_17_6_1_112",38.818547,-120.008184,2011,3.15974081266781
"78","Abies concolor","50206_3_17_6_1_112",38.818547,-120.008184,2021,NA
"79","Abies concolor","50206_3_17_6_1_117",38.818547,-120.008184,2001,5.40882145680778
"80","Abies concolor","50206_3_17_6_1_117",38.818547,-120.008184,2011,3.15969464566781
"81","Abies concolor","50206_3_17_6_1_117",38.818547,-120.008184,2021,NA
"82","Abies concolor","50206_3_17_6_1_120",38.818547,-120.008184,2001,5.40872072880778
"83","Abies concolor","50206_3_17_6_1_120",38.818547,-120.008184,2011,3.15956034166781
"84","Abies concolor","50206_3_17_6_1_120",38.818547,-120.008184,2021,5.66528038639407
"85","Abies concolor","50206_3_17_6_1_125",38.818547,-120.008184,2001,5.40892638180778
"86","Abies concolor","50206_3_17_6_1_125",38.818547,-120.008184,2011,3.15976179766781
"87","Abies concolor","50206_3_17_6_1_125",38.818547,-120.008184,2021,5.66544406939407
"88","Abies concolor","50206_3_17_6_1_126",38.818547,-120.008184,2001,5.40875010780778
"89","Abies concolor","50206_3_17_6_1_126",38.818547,-120.008184,2011,3.15958552366781
"90","Abies concolor","50206_3_17_6_1_126",38.818547,-120.008184,2021,5.66528458339407
"91","Abies concolor","50206_3_17_6_1_127",38.818547,-120.008184,2001,5.40886762380778
"92","Abies concolor","50206_3_17_6_1_128",38.818547,-120.008184,2001,5.40887182080778
"93","Abies concolor","50206_3_17_6_1_128",38.818547,-120.008184,2011,3.15972402466781
"94","Abies concolor","50206_3_17_6_1_128",38.818547,-120.008184,2021,5.66544826639407
"95","Abies concolor","50206_3_17_6_1_129",38.818547,-120.008184,2001,5.40890959380778
"96","Abies concolor","50206_3_17_6_1_129",38.818547,-120.008184,2011,3.15975760066781
"97","Abies concolor","50206_3_17_6_1_129",38.818547,-120.008184,2021,5.66545666039407
"98","Abies concolor","50206_3_17_6_1_139",38.818547,-120.008184,2011,3.15988351066781
"99","Abies concolor","50206_3_17_6_1_139",38.818547,-120.008184,2021,5.66559935839407
"100","Abies concolor","50206_3_17_6_2_131",38.818547,-120.008184,2001,5.40909006480778
"101","Abies concolor","50206_3_17_6_2_131",38.818547,-120.008184,2011,3.15992548066781
"102","Abies concolor","50206_3_17_6_2_131",38.818547,-120.008184,2021,5.66562034339407
"103","Abies concolor","50206_3_17_6_2_133",38.818547,-120.008184,2001,5.40777220680778
"104","Abies concolor","50206_3_17_6_2_133",38.818547,-120.008184,2011,3.15862021366781
"105","Abies concolor","50206_3_17_6_2_133",38.818547,-120.008184,2021,5.66432347039407
"106","Abies concolor","50206_3_17_6_2_134",38.818547,-120.008184,2001,5.40796526880778
"107","Abies concolor","50206_3_17_6_2_134",38.818547,-120.008184,2011,3.15884685166781
"108","Abies concolor","50206_3_17_6_2_134",38.818547,-120.008184,2021,5.66460466939407
"109","Abies concolor","50206_3_17_6_2_137",38.818547,-120.008184,2001,5.40707970180778
"110","Abies concolor","50206_3_17_6_2_137",38.818547,-120.008184,2011,3.15793190566781
"111","Abies concolor","50206_3_17_6_2_137",38.818547,-120.008184,2021,5.66364775339407
"112","Abies concolor","50206_3_17_6_3_138",38.818547,-120.008184,2001,5.40895156380778
"113","Abies concolor","50206_3_17_6_3_139",38.818547,-120.008184,2001,5.40885922980778
"114","Abies concolor","50206_3_17_6_3_140",38.818547,-120.008184,2001,5.40882145680778
"115","Abies concolor","50206_3_17_6_3_140",38.818547,-120.008184,2011,3.15965267566781
"116","Abies concolor","50206_3_17_6_3_140",38.818547,-120.008184,2021,5.66532655339407
"117","Abies concolor","50206_3_17_6_3_141",38.818547,-120.008184,2001,5.40901871580778
"118","Abies concolor","50206_3_17_6_3_142",38.818547,-120.008184,2001,5.40882565380778
"119","Abies concolor","50206_3_17_6_3_142",38.818547,-120.008184,2011,3.15967785766781
"120","Abies concolor","50206_3_17_6_3_142",38.818547,-120.008184,2021,NA
"121","Abies concolor","50206_3_17_6_3_143",38.818547,-120.008184,2001,5.40882985080778
"122","Abies concolor","50206_3_17_6_3_143",38.818547,-120.008184,2011,3.15966106966781
"123","Abies concolor","50206_3_17_6_3_143",38.818547,-120.008184,2021,5.66533075039407
"124","Abies concolor","50206_3_17_6_3_144",38.818547,-120.008184,2001,5.40866197080778
"125","Abies concolor","50206_3_17_6_3_144",38.818547,-120.008184,2011,3.15949318966781
"126","Abies concolor","50206_3_17_6_3_144",38.818547,-120.008184,2021,5.66516287039407
"127","Abies concolor","50206_3_17_6_3_145",38.818547,-120.008184,2001,5.40887182080778
"128","Abies concolor","50206_3_17_6_3_145",38.818547,-120.008184,2011,3.15971563066781
"129","Abies concolor","50206_3_17_6_3_145",38.818547,-120.008184,2021,5.66538111439407
"130","Abies concolor","50206_3_17_6_3_146",38.818547,-120.008184,2001,5.40880466880778
"131","Abies concolor","50206_3_17_6_3_146",38.818547,-120.008184,2011,3.15962749366781
"132","Abies concolor","50206_3_17_6_3_146",38.818547,-120.008184,2021,5.66533914439407
"133","Abies concolor","50206_3_17_6_3_147",38.818547,-120.008184,2001,5.40898513980778
"134","Abies concolor","50206_3_17_6_3_147",38.818547,-120.008184,2011,3.15984573766781
"135","Abies concolor","50206_3_17_6_3_147",38.818547,-120.008184,2021,5.66556997939407
